finding_url,repository,repository_url,title,description,severity,status,detected_at,committed_at,author_email,assignee_name,assignee_email,has_patch,configured_scan_id,commit_hash,relevant_paths,resolution_reason
https://chatgpt.com/codex/cloud/security/findings/5c9e3160987881919280761d8c36aabb,Temmie-Tem/A90_5G_rooting,https://github.com/Temmie-Tem/A90_5G_rooting,V451 executes untrusted packet scripts during validation,"The validator loads the latest V448 manifest from the wifi evidence tree, extracts `preflight_script` and `live_script`, and executes them with `bash`. The prompt probes mark success solely when the process exits with rc 2 or 3. The code records whether the expected guard text was observed, but that value is never enforced. As a result, a malicious or tampered V448 packet can point to scripts that perform arbitrary host-side side effects and then exit with the expected code. V451 will report `v451-operator-script-validation-pass` and will also unconditionally record `device_commands_executed`, `device_mutations`, and `wifi_bringup_executed` as false even though it has no way to guarantee that. This undermines the stated guardrail that V451 is a bounded fail-closed prompt validation with no device commands or mutations.",high,new,2026-05-20T14:15:12.162893Z,2026-05-20 18:40:55 +0900,shs02140@gmail.com,,,false,user-uCP64b5dIkMxZJ7N2kDGpa8n:github-1095371052,6a01afcf3c12b53a31ecfdaf9b8b6168b7c22110,scripts/revalidation/wifi_operator_script_validation_v451.py,
https://chatgpt.com/codex/cloud/security/findings/95c0023375e08191b6bd65af0ac5bfa8,Temmie-Tem/A90_5G_rooting,https://github.com/Temmie-Tem/A90_5G_rooting,Unpinned boot image autodiscovery can flash attacker artifact,"The V424 live run is an approved workflow that writes an Android boot image to /dev/block/by-name/boot. However, the code does not require the operator to explicitly select a trusted Android boot image or provide an expected digest. Instead, it scans broad globs under backups/, accepts any 4 KiB-aligned file starting with ANDROID! that lacks the native marker, sorts candidates, and flashes the first valid one. Because backups/ is gitignored and likely populated from local firmware dumps or downloaded artifacts, an attacker who can get a crafted boot.img into a matching backups/baseline_*/boot.img path can cause the tool to flash that image. The subsequent SHA/readback checks only prove that the chosen file was copied and written; they do not prove that the chosen file is a known-good stock Android boot image. This creates a supply-chain/device-integrity risk where the approved handoff can install attacker-controlled boot code. The rollback logic also aborts on several post-flash failures before restore-native is reached, which can leave the untrusted Android image installed if the malicious image prevents ADB recovery steps from completing.",high,new,2026-05-20T14:29:59.485488Z,2026-05-20 13:43:04 +0900,shs02140@gmail.com,,,false,user-uCP64b5dIkMxZJ7N2kDGpa8n:github-1095371052,923193738ab24a7f366920c02f8e5abb7ab1fc2b,gitignore | scripts/revalidation/android_hwservice_handoff_v424.py,
https://chatgpt.com/codex/cloud/security/findings/1044289c61b08191ae9220e5847fbb34,Temmie-Tem/A90_5G_rooting,https://github.com/Temmie-Tem/A90_5G_rooting,Wi-Fi HAL runner grants CAP_SYS_MODULE to HAL process,"The commit introduces a new `wifi-hal-composite-start-only` mode that starts `servicemanager`, `hwservicemanager`, and a vendor Wi-Fi HAL. Before `execv()` of the Wi-Fi HAL, the helper applies `apply_wifi_hal_identity_contract()`. That function includes `CAP_SYS_MODULE` in the retained capability list, marks it inheritable, applies it to effective/permitted/inheritable sets, and raises it into the ambient set. Ambient capabilities survive the subsequent `execv()` of the vendor HAL binary, so the HAL receives CAP_SYS_MODULE while running as AID_WIFI. CAP_SYS_MODULE is kernel-equivalent privilege: a compromised or malicious HAL process can call `init_module`/`finit_module`/`delete_module` to load arbitrary in-memory kernel modules or unload existing modules. This directly contradicts the V405 runner's stated boundary that module load/unload is not approved. The expected fix is to remove CAP_SYS_MODULE from the Wi-Fi HAL capability set unless absolutely required, avoid raising it ambiently, and enforce the no-module boundary with least privilege and/or seccomp/LSM controls.",high,new,2026-05-20T14:44:50.903593Z,2026-05-20 09:25:27 +0900,shs02140@gmail.com,,,false,user-uCP64b5dIkMxZJ7N2kDGpa8n:github-1095371052,f0954510cd6c967ef5c940d32db9649df62e5f53,stage3/linux_init/helpers/a90_android_execns_probe.c | scripts/revalidation/wifi_composite_hal_start_only_v405_runner.py,
https://chatgpt.com/codex/cloud/security/findings/223f641159e08191b090a2a62d3b3b20,Temmie-Tem/A90_5G_rooting,https://github.com/Temmie-Tem/A90_5G_rooting,Tampered manifests can inject approved checklist commands,"The added host-only checklist reads V340/V349 manifests from tmp/, which is gitignored, and treats their self-reported host metadata and command strings as authoritative. The clean-tree check only verifies the current Git checkout, not the integrity of these ignored manifest files. The command validator then assumes argv[1] is the expected Python runner and does not verify argv[0] is python3, does not reject duplicate flags, and does not reject extra executable wrappers. A forged V340 manifest can therefore pass all checks with a command such as `/tmp/evil scripts/revalidation/wifi_private_property_namespace_proof.py --out-dir ... --prelive-gate-manifest ... --approval-phrase ... --allow-device-mutation --assume-yes run`; the checklist marks it ready and renders that raw command in a bash block for the operator to execute. This can turn evidence-file tampering into operator-assisted host code execution or unauthorized device-command execution during the live proof workflow.",high,new,2026-05-19T14:23:33.119026Z,2026-05-19 20:40:26 +0900,shs02140@gmail.com,,,false,user-uCP64b5dIkMxZJ7N2kDGpa8n:github-1095371052,bed427f36ba109dea4bd72db323c2d7ce9e9ca1d,gitignore | scripts/revalidation/wifi_v317_operator_checklist.py | scripts/revalidation/wifi_private_property_namespace_proof.py,
https://chatgpt.com/codex/cloud/security/findings/4a6a4e7080888191b7450e09eff087a3,Temmie-Tem/A90_5G_rooting,https://github.com/Temmie-Tem/A90_5G_rooting,Manifest-controlled preflight command execution,"The new v340 generated preflight path reads `preflight_command` from `tmp/wifi/v340-v317-final-handoff-packet/manifest.json`, tokenizes it with `shlex.split()`, and passes the resulting argv directly to `subprocess.run()`. `shlex.split()` only parses quoting; it does not prove the command is the intended Python interpreter, the intended runner script, or the `preflight` subcommand. The refresh also runs this generated step whenever `--run-approved-preflight` is set, without first requiring that the v340 handoff step passed and produced trusted/current evidence. If an attacker can cause a stale or tampered handoff manifest to be present, or otherwise influence the manifest chain, the operator running the refresh helper can be made to execute an arbitrary host-side command. The subsequent manifest checks occur only after the command has already run, and a malicious command could also write a fake manifest at the parsed `--out-dir` to make the step appear successful.",high,new,2026-05-19T14:23:59.606596Z,2026-05-19 20:21:46 +0900,shs02140@gmail.com,,,false,user-uCP64b5dIkMxZJ7N2kDGpa8n:github-1095371052,45f5fc397b22410f9b9380b35aad4794e766b7fc,scripts/revalidation/wifi_v317_gate_refresh.py,
https://chatgpt.com/codex/cloud/security/findings/1ba7e48c2fb88191956ecfc499198eb8,Temmie-Tem/A90_5G_rooting,https://github.com/Temmie-Tem/A90_5G_rooting,Approval packet emits unpinned boot-flash command,"The added android_capture_approval_packet.py is intended to create the final operator approval boundary before a live Android boot handoff that writes the boot partition. However, the generated LIVE_COMMAND is a hard-coded executor invocation with only approval flags; it omits the approved Android boot image path/hash and native rollback image path/hash from the v299 manifest. The packet separately records and renders recommended_android_boot_image and native_rollback_image, which can make the operator believe those exact artifacts are being approved. When the operator runs the emitted command, android_capture_handoff_execute.py calls choose_images() and re-runs discovery against the current filesystem. Discovery includes globbed backup paths and choose_android_candidate() selects a valid-looking candidate by size/path ordering, not by the v299/v300 manifest hash. An attacker or unsafe artifact source that can add or replace a valid 4K-aligned ANDROID!-magic boot image under the discovered backup paths after approval, or between evidence generation and execution, can cause the live command to flash an unapproved boot image to /dev/block/by-name/boot. This can compromise device integrity or brick the device despite the approval packet showing a different approved hash.",high,new,2026-05-19T14:41:46.147678Z,2026-05-19 15:04:52 +0900,shs02140@gmail.com,,,false,user-uCP64b5dIkMxZJ7N2kDGpa8n:github-1095371052,d3740f79bd1812ea4b4cef4566c823c9b32f8c7c,scripts/revalidation/android_capture_approval_packet.py | scripts/revalidation/android_capture_handoff_execute.py | scripts/revalidation/android_capture_handoff_preflight.py,
https://chatgpt.com/codex/cloud/security/findings/b253c61d6a2081919e1adaecf27c61b8,Temmie-Tem/A90_5G_rooting,https://github.com/Temmie-Tem/A90_5G_rooting,QRTR helper hash is not enforced before root execution,"The new script is documented as a no-packet, no-daemon collector, but it executes a helper from persistent device storage using the root native-init command channel. The script captures both sha-qrtr-probe and qrtr-probe-no-send in one unconditional loop, so the helper is executed even if its SHA-256 is absent or mismatched. Later, build_inventory stores qrtr_probe_sha_ok, but build_checks does not require that value to pass; the critical qrtr-probe-no-send-connect check trusts only the helper-controlled stdout fields socket.rc, send_attempted, and connect_attempted. A malicious or replaced /cache/bin/a90_qrtr_probe can therefore run as root, send QRTR/QMI traffic or start daemons, print expected no-send values, and allow the correlator to report that guardrails were preserved. This is especially relevant because /cache/bin helper trust is an explicit persistence boundary in this project.",high,new,2026-05-19T14:53:51.547998Z,2026-05-19 11:27:23 +0900,shs02140@gmail.com,,,false,user-uCP64b5dIkMxZJ7N2kDGpa8n:github-1095371052,2ecdd9cf038bec1f335231661911d2ad19445f60,scripts/revalidation/wifi_qrtr_cnss_registration_correlator.py,
https://chatgpt.com/codex/cloud/security/findings/013b02ebc9ec8191831b15827b755ed3,Temmie-Tem/A90_5G_rooting,https://github.com/Temmie-Tem/A90_5G_rooting,Symlinkable /tmp Wi-Fi materialization can chown paths,"The commit adds --data-wifi-mode private-empty to a root helper. When enabled, the helper creates /tmp/a90-v231-<pid>/root/data/vendor/wifi/sockets and then chmods/chowns /data/vendor/wifi and /data/vendor/wifi/sockets within that temporary tree to system:wifi. However, the temporary base path is predictable and located under /tmp, which native init mounts as mode 1777. The mkdir_p/mkdir_one helpers treat EEXIST as success and do not lstat existing components, check ownership, reject symlinks, or create the top-level temp directory with an atomic mkdtemp-style primitive. A local lower-privileged process can pre-create /tmp/a90-v231-<future-pid>/root/data/vendor/wifi as a symlink to a sensitive real directory, causing the root helper to follow it and chmod/chown the symlink target and create/chown a sockets subdirectory there. If aimed at persistent helper locations such as /cache/bin, this can grant system:wifi write access to files/directories later trusted by PID1, enabling persistence or destructive permission changes. The underlying predictable temp directory pattern existed before, but this commit introduces new real filesystem metadata mutation through chmod/chown in that attacker-influenceable tree.",high,new,2026-05-19T15:06:38.563411Z,2026-05-19 07:42:20 +0900,shs02140@gmail.com,,,false,user-uCP64b5dIkMxZJ7N2kDGpa8n:github-1095371052,bb674d14c72e2492614177abc6d281c46438c064,stage3/linux_init/init_v73.c | stage3/linux_init/helpers/a90_android_execns_probe.c | scripts/revalidation/wifi_cnss_private_data_wifi_probe.py,
https://chatgpt.com/codex/cloud/security/findings/69c99d78da688191b6d19e2ebe8ecdf4,Temmie-Tem/A90_5G_rooting,https://github.com/Temmie-Tem/A90_5G_rooting,Unverified helper execution in v249 classifier,"The newly added wifi_cnss_runtime_gap_classifier.py runs args.helper, defaulting to /cache/bin/a90_android_execns_probe, through the root native-init 'run' command. This helper lives on writable persistent device storage according to the project threat model. Unlike the prior v248 preflight flow, this script does not capture and compare a live sha256sum of the helper before executing it. The 'helper-sha-recorded' runtime check only verifies that the CLI argument equals DEFAULT_HELPER_SHA256, not that the file on the device has that digest. It is also not a hard check, so even changing --helper-sha256 only produces an optional warning while the classifier can still pass. If /cache/bin/a90_android_execns_probe is replaced after the v248 prerequisite manifest was generated, running this classifier will execute attacker-controlled code as root before any guard output is parsed, and may still produce a trusted-looking classification if the malicious helper emits expected marker strings.",high,new,2026-05-19T15:05:45.517159Z,2026-05-19 07:20:38 +0900,shs02140@gmail.com,,,false,user-uCP64b5dIkMxZJ7N2kDGpa8n:github-1095371052,1bbe172fdc059b6264e4f10dd51945005a796502,scripts/revalidation/wifi_cnss_runtime_gap_classifier.py,
https://chatgpt.com/codex/cloud/security/findings/5a700f9b298c81919430286538bbaee9,Temmie-Tem/A90_5G_rooting,https://github.com/Temmie-Tem/A90_5G_rooting,Vendor export follows lib symlinks and leaks host files,"The newly added scripts/revalidation/wifi_vendor_root_evidence_export.py walks <source-vendor-root>/lib and lib64 with Path.rglob() after only checking base.exists(). If an attacker-supplied vendor root makes lib or lib64 a symlink to an external host directory, rglob() traverses that external directory. The later validation in resolve_source_file() only lstat()s the final path component; because the symlink is an ancestor, ordinary files reached through the symlink are treated as regular in-root files. copy_plan() then opens and copies them into the private evidence output. A crafted source tree containing required bin/cnss-daemon and bin/cnss_diag stubs plus lib -> /home/victim/.ssh or another sensitive directory can cause host files to be included in the exported vendor-root bundle. This also bypasses the documented no-follow/source-root guardrails and can cause denial of service by recursively walking a large host subtree before copy limits are applied.",high,new,2026-05-17T21:54:55.036202Z,2026-05-13 23:56:39 +0900,shs02140@gmail.com,,,false,user-uCP64b5dIkMxZJ7N2kDGpa8n:github-1095371052,70046b5b250e1e7628a3475cf0f6fbdd7d108fa7,scripts/revalidation/wifi_vendor_root_evidence_export.py,
https://chatgpt.com/codex/cloud/security/findings/ce9756bceb8c81919f18219c3afdc27b,Temmie-Tem/A90_5G_rooting,https://github.com/Temmie-Tem/A90_5G_rooting,Sensitive path filter can be bypassed with // paths,"The commit adds a broker-side denylist to prevent cat from reading /cache/native-init-tcpctl.token and runtime secret directories, including in --allow-exclusive mode. However, normalize_device_path() returns posixpath.normpath(path) unchanged for absolute paths. Python intentionally preserves exactly two leading slashes, so //cache/native-init-tcpctl.token does not compare equal to /cache/native-init-tcpctl.token and does not match the /cache/a90/runtime/ prefix. The device-side cat handler passes the string directly to open(), and Linux treats multiple leading slashes as the root directory, causing the sensitive file to be read despite the broker policy. The added tests only exercise the canonical single-slash path, so they miss this bypass. Default observe-only mode is still protected because cat was moved to operator-action, but when the broker is intentionally started with --allow-operator or --allow-exclusive, the new sensitive-path invariant is bypassable, leaking the tcpctl auth token and enabling direct tcpctl root command access if the tcpctl service is reachable.",high,new,2026-05-12T13:45:31.777272Z,2026-05-12 22:09:14 +0900,shs02140@gmail.com,,,false,user-uCP64b5dIkMxZJ7N2kDGpa8n:github-1095371052,e16e1fd39b26a0b8866959cc42202ad82e2a354f,scripts/revalidation/a90_broker.py | scripts/revalidation/a90_broker_auth_hardening_check.py | stage3/linux_init/init_v73.c,
https://chatgpt.com/codex/cloud/security/findings/2e58ca5901b881919c578de2b0f30aa8,Temmie-Tem/A90_5G_rooting,https://github.com/Temmie-Tem/A90_5G_rooting,V459 exposes Wi-Fi PSKs through child process environment,"The V459 generated shell script retrieves the selected saved NetworkManager profile's SSID and PSK with `nmcli --show-secrets`, then invokes the V447 Python flow using the shared `v447_env_prefix`. For WPA2/WPA3 this prefix expands to `env ""A90_WIFI_SSID=$A90_WIFI_SSID"" ""A90_WIFI_PSK=$A90_WIFI_PSK"" ...`. At runtime the full PSK is present in the `/usr/bin/env` argv briefly and then in the long-running Python child's environment. On typical Linux systems, another process running as the same local user can read `/proc/<pid>/environ` for that child, and command-line monitoring can also catch the transient `env` invocation. This undermines the new feature's goal of avoiding terminal exposure of saved Wi-Fi secrets on shared or compromised hosts. A safer design would avoid putting PSKs in argv or process environment, for example by passing them over a private pipe/stdin or a 0600 temporary file that is unlinked promptly, with the child reading from that channel.",medium,new,2026-05-20T14:17:53.645467Z,2026-05-20 19:33:19 +0900,shs02140@gmail.com,,,false,user-uCP64b5dIkMxZJ7N2kDGpa8n:github-1095371052,6ecc7fd9ea98f9cc98e3dea77753605f6e9db11a,scripts/revalidation/wifi_operator_nm_profile_handoff_v459.py | scripts/revalidation/wifi_operator_one_session_packet_v456.py,
https://chatgpt.com/codex/cloud/security/findings/95547549dfc081918f33c721c5bcd91d,Temmie-Tem/A90_5G_rooting,https://github.com/Temmie-Tem/A90_5G_rooting,V458 max-findings can disable Wi-Fi secret leak audit,"The V458 script exposes --max-findings as an unrestricted integer. add_finding() returns without recording a finding whenever len(findings) >= max_findings. With --max-findings 0, that condition is true before the first finding is stored, so all detected secret-like evidence is discarded. leak_audit() then sets ok to not findings, causing the run to be classified as a passing sanitized bundle with leak_findings: 0. This undermines the security gate that is intended to block sharing/review of bundles when referenced Wi-Fi evidence contains private SSIDs/PSKs. The cap should either be validated as >= 1 or the scanner should track suppressed findings separately and fail if any match was detected, even when output is capped.",medium,new,2026-05-20T14:15:45.524622Z,2026-05-20 19:25:14 +0900,shs02140@gmail.com,,,false,user-uCP64b5dIkMxZJ7N2kDGpa8n:github-1095371052,b0f39681b40b370f5b0f8b2baa3a60c8f8a3f2cb,scripts/revalidation/wifi_operator_session_bundle_v458.py,
https://chatgpt.com/codex/cloud/security/findings/7a85caced3a0819187bb009445e86483,Temmie-Tem/A90_5G_rooting,https://github.com/Temmie-Tem/A90_5G_rooting,Wi-Fi PSK exposed through generated env argv,"The V456 generator prompts for Wi-Fi credentials and then builds shell script lines like `env ""A90_WIFI_SSID=$A90_WIFI_SSID"" ""A90_WIFI_PSK=$A90_WIFI_PSK"" python3 ...`. At runtime, the shell expands those variables before executing `/usr/bin/env`, so the real SSID and PSK become argv entries for the `env` process. Process command lines are commonly observable via `ps` or `/proc/<pid>/cmdline` by other local users on the host, creating a credential disclosure risk. The intent is to avoid exporting secrets to route/proof commands, but using `env` this way introduces a command-line exposure window. A safer pattern would pass the variables as child environment without making them argv to a separate `env` binary, for example via shell assignment directly before `python3`, or by using a small subshell/export scoped only to the V447 invocation.",medium,new,2026-05-20T14:14:50.949280Z,2026-05-20 19:14:45 +0900,shs02140@gmail.com,,,false,user-uCP64b5dIkMxZJ7N2kDGpa8n:github-1095371052,d6c5f75627e69e9ade20a2b29e24a8713c4217de,scripts/revalidation/wifi_operator_one_session_packet_v456.py,
